Time,Learning rate,Train loss,Validation loss,MAE_free_energy
31241.219922304153,0.0001,108446.53792307692,108812.24795673077,319.2410018028846
31467.793721437454,0.0001,108844.10708653847,108470.12363942308,319.52054537259613
31694.10870194435,0.0001,109828.22308173077,109250.68982211538,319.40001953125
31920.326863765717,0.0001,109272.82208653846,109585.63101923077,319.7088545673077
32146.905435085297,0.0001,108464.7315625,111624.79521153847,319.0404278846154
32373.09393954277,0.0001,108762.24567788461,108992.49751442307,319.2032665264423
32599.386761426926,0.0001,108484.4455625,109610.0944326923,319.1916316105769
32825.81578373909,0.0001,108805.15105288461,109458.86613942307,319.7838740985577
33051.99102449417,0.0001,108684.41939423078,108239.60736538461,319.47120192307693
33277.95853495598,0.0001,108579.2602548077,109354.70721634616,319.1540120192308
33503.85972523689,0.0001,108701.52571153846,108737.0816875,319.18347265625
33730.03662467003,0.0001,108191.93493269231,112230.77307211538,320.0398194110577
33956.16995573044,0.0001,109210.29817307692,108266.75229807693,319.36854537259615
34182.5624396801,0.0001,108650.26386538462,108315.52669230769,319.3097001201923
34408.947237730026,0.0001,108684.824,108147.23023557692,319.45552133413463
34635.57454395294,0.0001,108938.20236538461,108770.2461298077,319.63243990384615
34861.56315088272,0.0001,108762.54234615384,108413.48549038461,319.49370552884614
35087.88873434067,0.0001,108813.13302403846,109685.41713461539,319.0672334735577
35314.0519285202,0.0001,108769.84834134615,110617.27486057693,319.15257451923077
35540.25161528587,0.0001,108124.85108653846,108882.38071153846,319.126078125
35766.282782793045,0.0001,108958.75301442308,108843.61935576923,319.5020796274039
35992.59693002701,0.0001,108408.96584615385,111833.40376442307,319.9812512019231
36218.803784132004,0.0001,108671.05702403845,111687.20413942308,318.99847896634617
36444.816135168076,0.0001,108859.47429807692,109420.16976442307,319.7183106971154
36671.63649559021,0.0001,108421.27784615384,108075.37052884615,319.46858203125
36897.6583814621,0.0001,107796.80260096154,109957.93192307692,319.8648984375
37123.65662431717,0.0001,109173.7263173077,112281.47560096154,318.94222986778846
37349.60913896561,0.0001,108633.79937019231,108638.42984134615,319.2521505408654
37575.69516324997,0.0001,107925.24110576924,108515.10232692308,319.6620784254808
37801.861697912216,0.0001,108580.59678846154,108051.32960096154,319.2751715745192
38028.48581767082,0.0001,108385.53349038461,110668.74016826923,319.8546454326923
38254.7638258934,0.0001,108197.67938942308,108499.95970673076,319.6692518028846
38481.17521071434,0.0001,108084.35769711538,107942.06055288462,319.40757481971156
38707.19908642769,0.0001,108415.17869711538,108955.31083173076,319.0249344951923
38934.139446258545,0.0001,108282.22058653846,108141.21821153846,319.2157518028846
39160.363597393036,0.0001,108319.37471634615,110277.5208798077,319.8381280048077
39386.86731719971,0.0001,108839.41646634616,108503.58092307692,319.2170369591346
39613.25838804245,0.0001,108052.13325,108784.14626923077,319.12142908653846
39839.6445350647,0.0001,107893.9364951923,107865.84844711538,319.4285444711538
40066.471219301224,0.0001,108882.29113461539,109314.31400480769,319.0157277644231
40292.973774671555,0.0001,108307.45315865385,107970.49965865385,319.4552782451923
40519.76145339012,0.0001,107850.32024519231,108225.31775961538,319.24073948317306
40746.25922346115,0.0001,109126.1374951923,108638.44871634616,319.1513524639423
40972.55144548416,0.0001,107765.18240865384,110487.90029326922,318.92901021634617
41199.06722569466,0.0001,108342.92395673077,107753.3839326923,319.32597295673077
41424.88935256004,0.0001,107550.428625,107978.6630576923,319.2173191105769
41651.29890012741,0.0001,108751.70229326923,109427.06252884616,319.77920552884615
41877.5237197876,0.0001,107933.1146826923,107941.13571153846,319.4791277043269
42104.03233551979,0.0001,107656.96172596153,107747.7735,319.32030859375
42330.2735915184,0.0001,108261.16036057692,110639.69344711538,319.8823987379808
42556.18714237213,0.0001,107853.9755576923,111297.82209134616,318.87642728365387
42782.38677549362,0.0001,108230.10571634615,107740.466375,319.33067608173076
43008.70776057243,0.0001,108254.50337019231,107807.96516826923,319.2328425480769
43235.20008349419,0.0001,107861.43116826924,108127.93397115385,319.57069471153847
43462.266246795654,0.0001,107493.31945673077,109311.38133173076,319.75999158653843
43688.83100104332,0.0001,107877.74717788461,109763.05185096154,319.7529678485577
43915.23356628418,0.0001,107999.81370673077,110642.57565865385,319.9159621394231
44141.73841023445,0.0001,108263.08754326923,107958.739375,319.4622635216346
44368.24242758751,0.0001,108495.41336538462,110326.88521634616,319.8516298076923
44594.76049685478,0.0001,108539.27872596154,107691.87045673077,319.3101192908654
44821.18575882912,0.0001,108305.96334615385,109459.04104807692,318.9476177884615
45047.636724710464,0.0001,107697.17444230769,108290.19967307692,319.0503269230769
45274.026799201965,0.0001,108010.74362019231,109494.15160576924,319.8184362980769
45500.59551215172,0.0001,108533.05181730769,108296.22037019231,319.0679456129808
45727.23477101326,0.0001,108501.98931730769,110073.64329326923,319.8101481370192
45953.71391391754,0.0001,108098.45692307693,109781.07386538462,318.96322986778847
46180.13048362732,0.0001,107998.79676442308,108477.26328846155,319.56074579326923
46406.82986688614,0.0001,108105.460375,110575.38562980769,319.81404987980767
46633.56959557533,0.0001,108006.55533173076,108335.23714903847,319.5833798076923
46860.065868616104,0.0001,107415.32869711539,107870.60271153846,319.46832451923075
47086.38383126259,0.0001,107543.95383173077,107562.3759326923,319.31265024038464
47312.567719221115,0.0001,107618.9198798077,108985.65190865385,318.95500871394233
47539.340034008026,0.0001,107729.96522115385,107652.27922596154,319.2307890625
47765.84175992012,0.0001,107861.59265384615,108339.44103365384,319.6013467548077
47992.250031232834,0.0001,107971.96767788462,108377.36766826923,319.01254867788464
48218.12243962288,0.0001,107811.19236057693,107758.32321634615,319.1969837740385
48444.75062966347,0.0001,107689.99754326923,107570.93333173078,319.30432481971155
48670.67264866829,0.0001,108046.51208173078,108701.02978365385,319.12376923076926
48896.623593091965,0.0001,107622.27185096154,110341.18731730769,318.81030228365387
49122.812153339386,0.0001,108298.68146634616,107584.59888942308,319.39806790865384
49349.08183956146,0.0001,107759.16061057692,107568.05186538461,319.3764579326923
49575.539437532425,0.0001,108100.29264423077,107853.62760096154,319.1464849759615
49802.09408521652,0.0001,108105.11660576923,114885.23902403846,318.78873076923077
50028.38312840462,0.0001,107805.84352884615,110530.80232692308,318.86308774038463
50254.5884783268,0.0001,107816.87022596154,108022.58608173077,319.59304056490384
50480.50400137901,0.0001,107553.33616346154,107998.83060576922,319.552765625
50706.25698542595,0.0001,108564.47344230769,109971.40551923077,319.72446574519233
50932.72153162956,0.0001,107993.97733173077,107547.10272115385,319.3218918269231
51158.95821762085,0.0001,107732.58575,108128.27441346154,319.12717818509617
51385.07917380333,0.0001,107367.81873076923,109036.57243269231,319.5411292067308
51611.62750840187,0.0001,107732.5984951923,107576.50278846154,319.3121724759615
51837.75371026993,0.0001,107951.30150961538,110492.13994711539,319.80917638221155
52064.16198205948,0.0001,108228.06677884616,107669.51934134615,319.2235805288461
52290.269946575165,0.0001,107559.86885576924,109733.87259134615,318.9327932692308
52516.179799079895,0.0001,107705.99724038462,107943.03390865384,319.54200540865384
52742.000601768494,0.0001,107637.12432211539,108030.64671153846,319.11124579326923
52968.121999025345,0.0001,107291.55595673076,107523.44550961538,319.17843689903845
53194.92795205116,0.0001,108362.52325,111195.28673557693,318.75205679086537
53421.26267242432,0.0001,108427.44524038462,109920.11197115385,319.8710516826923
53647.57096338272,0.0001,108013.2397548077,112633.84366346154,320.1511472355769
53874.088079452515,0.0001,107917.91001442308,108032.13936538462,319.50754927884617
54100.2661151886,0.0001,108342.58022115384,108036.1420625,319.5706586538462
54326.36686182022,0.0001,107446.94366346154,107963.70363461539,319.2490297475961
54552.66363477707,0.0001,107713.96856730769,109697.01629807692,319.7682641225962
54778.66446828842,0.0001,107193.88262980769,108382.82846634615,319.6720207331731
55005.21762633324,0.0001,107499.65714423078,107807.92858653846,319.48997596153845
55231.65072774887,0.0001,107521.66261057692,107570.316625,319.43153185096156
55457.36983060837,0.0001,107934.73966346154,107479.16873076923,319.33196754807693
55683.39536976814,0.0001,107856.53163461538,107685.76054807693,319.1153215144231
55909.58436989784,0.0001,107370.56730288462,109400.42258173077,318.97741977163463
56135.70546030998,0.0001,107873.99926442308,108339.08828846154,319.53236418269233
56362.30092692375,0.0001,107968.00325,109038.21913942308,318.8828719951923
56588.58225107193,0.0001,107840.07096153845,107533.94842307693,319.15775330528845
56814.73521113396,0.0001,107654.61286057692,108557.73755769231,319.00128665865384
57041.07924604416,0.0001,107345.08908173077,108041.82875,319.4686295072115
57267.28236627579,0.0001,107367.59002403847,107736.90867788461,319.2902151442308
57493.6268556118,0.0001,107348.33883653846,107661.73009615384,319.3617758413462
57720.05483055115,0.0001,107364.2815673077,108271.14777884615,319.6242451923077
57946.51624274254,0.0001,107641.55201923077,107653.3698173077,319.2313858173077
58172.712450027466,0.0001,107513.07779326923,107794.7559375,319.05208082932694
58399.52637410164,0.0001,107999.85691826923,107580.59874519231,319.290109375
58626.03699350357,0.0001,107758.60675,109258.3288798077,319.7956502403846
58852.595376729965,0.0001,107144.41672596154,107961.47560096154,319.0633557692308
59079.25363826752,0.0001,107609.34623076922,107398.69614423077,319.3464813701923
59305.927505493164,0.0001,107488.35260096155,107714.77658653846,319.52830949519233
59532.540843486786,0.0001,107893.09761057692,107943.25384615385,319.0279588341346
